iter	RMSE
0	2.240328991
1	2.210900477
2	2.18277739
3	2.154794402
4	2.129270992
5	2.105886106
6	2.080604769
7	2.056317373
8	2.034020963
9	2.012672149
10	1.995242142
11	1.976322033
12	1.958848603
13	1.941350243
14	1.924542105
15	1.908199623
16	1.893576649
17	1.88028204
18	1.865741362
19	1.852057056
20	1.838289196
21	1.827022475
22	1.815297604
23	1.804333642
24	1.794327861
25	1.783708478
26	1.774038214
27	1.763788771
28	1.755215789
29	1.74668333
30	1.737111805
31	1.728889874
32	1.721262553
33	1.713994854
34	1.707068559
35	1.700620344
36	1.693690429
37	1.687339642
38	1.680614243
39	1.674743937
40	1.668608182
41	1.662465655
42	1.656970396
43	1.652370639
44	1.648318014
45	1.643174516
46	1.638542606
47	1.633971905
48	1.629971531
49	1.625547348
50	1.622066991
51	1.618337566
52	1.614645599
53	1.610909419
54	1.607393665
55	1.604262402
56	1.600880285
57	1.597763995
58	1.594783051
59	1.59207519
60	1.588841764
61	1.586401651
62	1.583582448
63	1.580500913
64	1.578086477
65	1.575423694
66	1.572979674
67	1.570453915
68	1.567877281
69	1.565426696
70	1.562822088
71	1.560679321
72	1.558408891
73	1.556854382
74	1.55489551
75	1.55265253
76	1.549940616
77	1.548407957
78	1.5464074
79	1.544706637
80	1.54308578
81	1.540424814
82	1.538841115
83	1.536678116
84	1.534477258
85	1.533040161
86	1.531239464
87	1.529273659
88	1.527717086
89	1.52604114
90	1.5244318
91	1.522879402
92	1.521442724
93	1.52006169
94	1.518697674
95	1.51711197
96	1.515520629
97	1.514359732
98	1.512920222
99	1.511501879
100	1.51024383
101	1.50909608
102	1.507905942
103	1.506479918
104	1.504959164
105	1.50335388
106	1.502514099
107	1.501226193
108	1.499996796
109	1.498651469
110	1.49744654
111	1.49613155
112	1.494685109
113	1.49321279
114	1.49223387
115	1.491051363
116	1.490149837
117	1.489417976
118	1.488365196
119	1.486724396
120	1.485551379
121	1.484602997
122	1.483918459
123	1.482973226
124	1.481778731
125	1.480828356
126	1.479710223
127	1.478747147
128	1.477727359
129	1.476621512
130	1.475422573
131	1.474520459
132	1.47356541
133	1.472499856
134	1.471206856
135	1.47046736
136	1.469804674
137	1.468896737
138	1.468108947
139	1.467276113
140	1.466153885
141	1.465528475
142	1.464942405
143	1.464132772
144	1.463332287
145	1.462385912
146	1.461430674
147	1.460529552
148	1.459375082
149	1.458514201
150	1.457446344
151	1.456757519
152	1.456029789
153	1.455306137
154	1.4545453
155	1.453664089
156	1.452968873
157	1.452470987
158	1.451490965
159	1.450439114
160	1.449562125
161	1.448760255
162	1.447918597
163	1.446882969
164	1.446151078
165	1.445669076
166	1.445210271
167	1.444441918
168	1.443880141
169	1.443261997
170	1.44266073
171	1.442043512
172	1.441361923
173	1.440752314
174	1.439884463
175	1.439446089
176	1.438814216
177	1.438367764
178	1.437614573
179	1.436510447
180	1.435383551
181	1.434558068
182	1.433905683
183	1.433453176
184	1.432855101
185	1.43181681
186	1.431021807
187	1.430302296
188	1.429975536
189	1.428683627
190	1.428311011
191	1.427973563
192	1.427277943
193	1.426795994
194	1.42591476
195	1.42536758
196	1.424726066
197	1.424276523
198	1.423534433
199	1.422853965
200	1.422117411
201	1.421732223
202	1.420983047
203	1.420406465
204	1.419617381
205	1.419199769
206	1.418510045
207	1.417724703
208	1.416980123
209	1.416664094
210	1.415920255
211	1.415438298
212	1.414744701
213	1.414042114
214	1.413430607
215	1.412485998
216	1.411974881
217	1.411679365
218	1.410956241
219	1.410612767
220	1.410052391
221	1.409673735
222	1.40932654
223	1.408567273
224	1.40816767
225	1.40760812
226	1.406966034
227	1.406576078
228	1.406022339
229	1.405626236
230	1.405418409
231	1.404965281
232	1.404523959
233	1.403767528
234	1.403197949
235	1.402728678
236	1.402222905
237	1.401776403
238	1.401429784
239	1.400829175
240	1.400188618
241	1.399766027
242	1.399343969
243	1.398740102
244	1.398318893
245	1.397728986
246	1.397002591
247	1.396411149
248	1.396274147
249	1.395480299
250	1.394827281
251	1.394288777
252	1.393852222
253	1.393390327
254	1.392789316
255	1.392369691
256	1.391830278
257	1.391467452
258	1.391128865
259	1.390646818
260	1.390592371
261	1.389965335
262	1.389646416
263	1.389032654
264	1.388596165
265	1.387676461
266	1.387113515
267	1.386519064
268	1.385840395
269	1.385382149
270	1.384801932
271	1.384432225
272	1.383780587
273	1.383212516
274	1.382794815
275	1.382473197
276	1.382143064
277	1.381613014
278	1.381413941
279	1.381042315
280	1.380768134
281	1.379667762
282	1.379270213
283	1.378642496
284	1.378231455
285	1.377468776
286	1.377163454
287	1.376764619
288	1.376252872
289	1.375750309
290	1.375270586
291	1.374748858
292	1.373839956
293	1.373368122
294	1.37311015
295	1.372514152
296	1.372072351
297	1.371349452
298	1.370796912
299	1.370203665
300	1.369295841
301	1.368319063
302	1.367611145
303	1.367057426
304	1.366195145
305	1.365529994
306	1.364879963
307	1.364380741
308	1.363872992
309	1.363414968
310	1.363079328
311	1.362419538
312	1.361522324
313	1.360750889
314	1.360214899
315	1.35906979
316	1.358364331
317	1.357457451
318	1.356686738
319	1.356474028
320	1.356222037
321	1.355299604
322	1.354852723
323	1.354515357
324	1.353634718
325	1.353236616
326	1.352658708
327	1.352326383
328	1.352122408
329	1.35146703
330	1.351144652
331	1.350668202
332	1.350495672
333	1.349909917
334	1.349630726
335	1.349379012
336	1.348717907
337	1.348517964
338	1.347864864
339	1.347031494
340	1.34624323
341	1.345286275
342	1.344639029
343	1.344231929
344	1.343270656
345	1.342724698
346	1.342061422
347	1.34188034
348	1.341506653
349	1.340968724
350	1.340286247
351	1.339639559
352	1.339480508
353	1.33913082
354	1.338616177
355	1.33824348
356	1.337499766
357	1.336816285
358	1.33664308
359	1.335844567
360	1.335377565
361	1.334788898
362	1.33383028
363	1.33325894
364	1.332538225
365	1.331774501
366	1.331180259
367	1.330672986
368	1.329816848
369	1.329672898
370	1.329460144
371	1.329026433
372	1.328398012
373	1.327647047
374	1.327460135
375	1.326735592
376	1.326049158
377	1.325270869
378	1.324681293
379	1.32408534
380	1.323926336
381	1.323236898
382	1.322601446
383	1.321890559
384	1.321605536
385	1.320806325
386	1.320651396
