match_id,game_time,placement,level,gold_left,augments,traits,units
NA1_5257919321,2025-04-02 05:58:21.042000+00:00,2,10,6,[],"['TFT13_Bruiser-1', 'TFT13_FormSwapper-3', 'TFT13_HighRoller-1', 'TFT13_Pugilist-4', 'TFT13_Warband-1']","['TFT13_Draven (2★)', 'TFT13_Red (1★)', 'TFT13_Urgot (2★)', 'TFT13_Sett (2★)', 'tft13_swain (3★)', 'TFT13_Gangplank (2★)', 'tft13_elise (2★)', 'TFT13_Vi (2★)', 'TFT13_Jayce (1★)', 'TFT13_Lieutenant (2★)', 'TFT13_JayceSummon (1★)']"
NA1_5257906147,2025-04-02 05:32:00.650000+00:00,1,10,1,[],"['TFT13_Ambassador-1', 'TFT13_Bruiser-1', 'TFT13_FormSwapper-3', 'TFT13_HighRoller-1', 'TFT13_JunkerKing-1', 'TFT13_MissMageTrait-1', 'TFT13_Pugilist-2', 'TFT13_Scrap-1', 'TFT13_Titan-1', 'TFT13_Warband-3']","['TFT13_Draven (2★)', 'TFT13_Rell (2★)', 'TFT13_Sett (2★)', 'tft13_swain (2★)', 'TFT13_Gangplank (2★)', 'tft13_elise (2★)', 'TFT13_Ambessa (2★)', 'TFT13_Jayce (2★)', 'TFT13_Mordekaiser (2★)', 'TFT13_Lieutenant (2★)', 'TFT13_Rumble (2★)', 'TFT13_MissMage (1★)', 'TFT13_JayceSummon (2★)']"
NA1_5257797878,2025-04-02 02:53:53.027000+00:00,1,10,14,[],"['TFT13_Ambassador-2', 'TFT13_Cabal-1', 'TFT13_FormSwapper-1', 'TFT13_MissMageTrait-1', 'TFT13_Sorcerer-3', 'TFT13_Warband-1', 'TFT13_Watcher-1']","['TFT13_Vladimir (2★)', 'TFT13_Tristana (2★)', 'tft13_swain (2★)', 'TFT13_Nami (2★)', 'tft13_elise (2★)', 'TFT13_Ambessa (2★)', 'TFT13_Garen (2★)', 'TFT13_Zoe (2★)', 'TFT13_LeBlanc (1★)', 'TFT13_MissMage (1★)', 'TFT13_Sion (1★)']"
NA1_5257772276,2025-04-02 02:13:51.269000+00:00,5,8,53,[],"['TFT13_Ambassador-1', 'TFT13_FormSwapper-3', 'TFT13_MissMageTrait-1', 'TFT13_Pugilist-1', 'TFT13_Warband-2']","['TFT13_Draven (2★)', 'TFT13_Rell (2★)', 'tft13_swain (2★)', 'TFT13_Gangplank (2★)', 'tft13_elise (2★)', 'TFT13_Ambessa (1★)', 'TFT13_Jayce (1★)', 'TFT13_MissMage (1★)', 'TFT13_JayceSummon (1★)']"
NA1_5257476171,2025-04-01 09:18:39.509000+00:00,1,10,2,[],"['TFT13_BloodHunter-1', 'TFT13_Bruiser-1', 'TFT13_FormSwapper-3', 'TFT13_HighRoller-1', 'TFT13_Pugilist-4', 'TFT13_Warband-1']","['TFT13_Draven (2★)', 'TFT13_Red (1★)', 'TFT13_Urgot (2★)', 'TFT13_Sett (2★)', 'tft13_swain (2★)', 'TFT13_Gangplank (3★)', 'tft13_elise (2★)', 'TFT13_Vi (2★)', 'TFT13_Jayce (2★)', 'TFT13_Lieutenant (2★)', 'TFT13_Warwick (1★)', 'TFT13_JayceSummon (2★)']"
NA1_5257470257,2025-04-01 08:50:30.951000+00:00,1,10,0,[],"['TFT13_Ambusher-1', 'TFT13_HighRoller-1', 'TFT13_JunkerKing-1', 'TFT13_Pugilist-1', 'TFT13_Rebel-3', 'TFT13_Scrap-1', 'TFT13_Teamup_UnlikelyDuo-1', 'TFT13_Titan-2']","['TFT13_Irelia (1★)', 'TFT13_Akali (2★)', 'TFT13_Sett (2★)', 'TFT13_Ezreal (2★)', 'TFT13_Ekko (2★)', 'TFT13_Illaoi (2★)', 'TFT13_Zoe (2★)', 'TFT13_Lieutenant (2★)', 'TFT13_Rumble (2★)', 'TFT13_Jinx (2★)']"
NA1_5257468176,2025-04-01 08:31:02.647000+00:00,8,7,4,[],"['TFT13_Ambassador-1', 'TFT13_FormSwapper-1', 'TFT13_Pugilist-1', 'TFT13_Sorcerer-1', 'TFT13_Warband-2', 'TFT13_Watcher-1']","['TFT13_Darius (1★)', 'TFT13_Vladimir (2★)', 'TFT13_Rell (2★)', 'TFT13_Sett (2★)', 'tft13_swain (2★)', 'TFT13_Gangplank (2★)', 'TFT13_Ambessa (1★)']"
NA1_5257436651,2025-04-01 06:49:17.921000+00:00,1,10,1,[],"['TFT13_Ambusher-1', 'TFT13_HighRoller-1', 'TFT13_Pugilist-1', 'TFT13_Rebel-4', 'TFT13_Titan-1']","['TFT13_Irelia (2★)', 'TFT13_Vex (2★)', 'TFT13_Akali (2★)', 'TFT13_Sett (2★)', 'TFT13_Ezreal (2★)', 'TFT13_Ekko (2★)', 'TFT13_Illaoi (2★)', 'TFT13_Zoe (2★)', 'TFT13_Lieutenant (2★)', 'tft13_jinx (1★)']"
NA1_5257394470,2025-04-01 05:36:12.871000+00:00,2,9,1,[],"['TFT13_Ambusher-1', 'TFT13_MachineHerald-1', 'TFT13_Rebel-3', 'TFT13_Titan-1']","['TFT13_Irelia (1★)', 'TFT13_Akali (2★)', 'TFT13_Sett (2★)', 'TFT13_Ezreal (2★)', 'TFT13_Ekko (2★)', 'TFT13_Illaoi (2★)', 'TFT13_Zoe (2★)', 'TFT13_Jinx (2★)', 'TFT13_Viktor (1★)']"
NA1_5257128528,2025-03-31 22:01:17.295000+00:00,1,10,1,[],"['TFT13_Ambusher-1', 'TFT13_Bruiser-1', 'TFT13_JunkerKing-1', 'TFT13_Rebel-4', 'TFT13_Titan-2']","['TFT13_Irelia (2★)', 'TFT13_Vex (1★)', 'TFT13_Akali (2★)', 'TFT13_Sett (2★)', 'TFT13_Ezreal (2★)', 'tft13_elise (2★)', 'TFT13_Illaoi (2★)', 'TFT13_Zoe (2★)', 'TFT13_Rumble (2★)', 'tft13_jinx (1★)']"
NA1_5257057154,2025-03-31 18:53:31.920000+00:00,1,10,0,[],"['TFT13_Ambusher-2', 'TFT13_Bruiser-1', 'TFT13_MachineHerald-1', 'TFT13_Rebel-3', 'TFT13_Titan-1']","['TFT13_Irelia (2★)', 'TFT13_Akali (2★)', 'TFT13_Sett (2★)', 'TFT13_Ezreal (2★)', 'tft13_elise (2★)', 'TFT13_Ekko (2★)', 'TFT13_Illaoi (2★)', 'TFT13_Zoe (2★)', 'tft13_jinx (2★)', 'TFT13_Viktor (1★)']"
NA1_5257049494,2025-03-31 18:30:06.116000+00:00,5,9,33,[],"['TFT13_Ambassador-1', 'TFT13_Bruiser-1', 'TFT13_FormSwapper-2', 'TFT13_Pugilist-2', 'TFT13_Warband-3']","['TFT13_Darius (2★)', 'TFT13_Draven (2★)', 'TFT13_Rell (2★)', 'TFT13_Sett (2★)', 'tft13_swain (2★)', 'TFT13_Gangplank (2★)', 'tft13_elise (2★)', 'TFT13_Ambessa (2★)', 'TFT13_Mordekaiser (1★)']"
NA1_5256927750,2025-03-31 07:29:24.337000+00:00,2,10,3,[],"['TFT13_Academy-1', 'TFT13_Bruiser-1', 'TFT13_Cabal-1', 'TFT13_FormSwapper-1', 'TFT13_Invoker-3', 'TFT13_MissMageTrait-1', 'TFT13_Titan-1']","['TFT13_Morgana (2★)', 'TFT13_Leona (2★)', 'TFT13_Rell (2★)', 'TFT13_NunuWillump (2★)', 'TFT13_Heimerdinger (2★)', 'tft13_elise (2★)', 'TFT13_Jayce (2★)', 'TFT13_Malzahar (2★)', 'TFT13_LeBlanc (1★)', 'TFT13_MissMage (1★)', 'TFT13_JayceSummon (2★)', 'TFT13_Sion (1★)']"
NA1_5256917179,2025-03-31 07:02:59.107000+00:00,1,10,2,[],"['TFT13_Ambassador-1', 'TFT13_Bruiser-1', 'TFT13_FormSwapper-3', 'TFT13_HighRoller-1', 'TFT13_Pugilist-2', 'TFT13_Scrap-1', 'TFT13_Warband-3']","['TFT13_Draven (2★)', 'TFT13_Rell (2★)', 'TFT13_Sett (2★)', 'tft13_swain (2★)', 'TFT13_Gangplank (2★)', 'tft13_elise (2★)', 'TFT13_Ambessa (2★)', 'TFT13_Corki (2★)', 'TFT13_Jayce (2★)', 'TFT13_Mordekaiser (2★)', 'TFT13_Lieutenant (2★)', 'TFT13_JayceSummon (2★)']"
NA1_5256910761,2025-03-31 06:43:56.836000+00:00,5,9,7,[],"['TFT13_Ambassador-2', 'TFT13_Challenger-1', 'TFT13_FormSwapper-2', 'TFT13_Martialist-1', 'TFT13_Scrap-1', 'TFT13_Sorcerer-1', 'TFT13_Squad-1', 'TFT13_Warband-1', 'TFT13_Watcher-1']","['TFT13_Tristana (2★)', 'tft13_swain (1★)', 'TFT13_Nami (2★)', 'TFT13_Gangplank (2★)', 'TFT13_TwistedFate (2★)', 'tft13_elise (2★)', 'TFT13_Ambessa (2★)', 'TFT13_Garen (2★)', 'TFT13_Corki (1★)']"
