match_id,game_time,placement,level,gold_left,augments,traits,units
NA1_5238192907,2025-02-27 06:25:20.583000+00:00,1,9,42,[],"['TFT13_Family-3', 'TFT13_HighRoller-1', 'TFT13_Pugilist-3', 'TFT13_Scrap-1', 'TFT13_Warband-1', 'TFT13_Watcher-1']","['TFT13_Darius (3★)', 'TFT13_Draven (3★)', 'TFT13_Blue (3★)', 'TFT13_Red (3★)', 'TFT13_Urgot (2★)', 'TFT13_Prime (3★)', 'TFT13_Gangplank (2★)', 'TFT13_Vi (2★)', 'TFT13_Lieutenant (1★)']"
NA1_5237673920,2025-02-26 09:23:12.971000+00:00,4,8,6,[],"['TFT13_Cabal-3', 'TFT13_Infused-3', 'TFT13_Sorcerer-1']","['TFT13_Vladimir (2★)', 'TFT13_Ziggs (3★)', 'TFT13_Blitzcrank (3★)', 'TFT13_Cassiopeia (3★)', 'TFT13_Elise (2★)', 'TFT13_DrMundo (2★)', 'TFT13_LeBlanc (1★)', 'TFT13_Mordekaiser (1★)', 'TFT13_Sion (3★)']"
NA1_5237651484,2025-02-26 08:14:26.651000+00:00,1,10,43,[],"['TFT13_Ambassador-1', 'TFT13_Hoverboard-1', 'TFT13_MachineHerald-1', 'TFT13_MissMageTrait-1', 'TFT13_Sniper-2', 'TFT13_Squad-1', 'TFT13_Watcher-2']","['TFT13_Darius (2★)', 'TFT13_Shooter (2★)', 'TFT13_Prime (2★)', 'TFT13_Zeri (3★)', 'TFT13_FlyGuy (2★)', 'TFT13_Garen (2★)', 'TFT13_Twitch (2★)', 'TFT13_Caitlyn (2★)', 'TFT13_Viktor (1★)', 'TFT13_MissMage (1★)']"
NA1_5237604970,2025-02-26 06:29:34.479000+00:00,1,9,29,[],"['TFT13_FormSwapper-2', 'TFT13_HighRoller-1', 'TFT13_JunkerKing-1', 'TFT13_Pugilist-3', 'TFT13_Scrap-1', 'TFT13_Squad-1', 'TFT13_Warband-1']","['TFT13_Draven (2★)', 'TFT13_Urgot (2★)', 'tft13_swain (2★)', 'TFT13_Gangplank (2★)', 'TFT13_Elise (2★)', 'TFT13_Vi (2★)', 'TFT13_Jayce (2★)', 'TFT13_Lieutenant (2★)', 'TFT13_Rumble (1★)', 'TFT13_JayceSummon (2★)']"
NA1_5237080608,2025-02-25 09:24:29.573000+00:00,2,10,0,[],"['TFT13_Ambassador-1', 'TFT13_BloodHunter-1', 'TFT13_Bruiser-1', 'TFT13_Hextech-1', 'TFT13_Invoker-3', 'TFT13_Titan-1']","['TFT13_Morgana (3★)', 'TFT13_Rell (3★)', 'TFT13_KogMaw (1★)', 'TFT13_Chainsaw (3★)', 'TFT13_Nami (2★)', 'TFT13_NunuWillump (3★)', 'TFT13_Heimerdinger (2★)', 'TFT13_Illaoi (2★)', 'TFT13_Malzahar (2★)', 'TFT13_Warwick (1★)']"
NA1_5237071186,2025-02-25 08:43:37.226000+00:00,1,9,4,[],"['TFT13_Ambassador-1', 'TFT13_Cabal-2', 'TFT13_FormSwapper-1', 'TFT13_Rebel-1', 'TFT13_Sorcerer-3', 'TFT13_Titan-1']","['TFT13_Zyra (2★)', 'TFT13_Irelia (2★)', 'TFT13_Vladimir (2★)', 'tft13_swain (2★)', 'TFT13_Nami (2★)', 'TFT13_Elise (2★)', 'TFT13_Illaoi (2★)', 'TFT13_Zoe (1★)', 'TFT13_LeBlanc (2★)', 'TFT13_Sion (2★)']"
NA1_5237056648,2025-02-25 08:04:15.054000+00:00,7,8,1,[],"['TFT13_Ambassador-1', 'TFT13_Challenger-1', 'TFT13_Squad-3']","['TFT13_Fish (2★)', 'TFT13_Shooter (2★)', 'TFT13_Camille (2★)', 'TFT13_Beardy (2★)', 'TFT13_TwistedFate (2★)', 'TFT13_Ambessa (2★)', 'TFT13_Vi (1★)', 'TFT13_Lieutenant (1★)']"
NA1_5236758167,2025-02-25 00:57:11.446000+00:00,1,10,1,[],"['TFT13_Ambassador-1', 'TFT13_BloodHunter-1', 'TFT13_Experiment-1', 'TFT13_HighRoller-1', 'TFT13_Infused-1', 'TFT13_MissMageTrait-1', 'TFT13_Pugilist-1', 'TFT13_Sniper-1', 'TFT13_Squad-1', 'TFT13_Warband-1']","['TFT13_Elise (2★)', 'TFT13_Ambessa (2★)', 'TFT13_DrMundo (2★)', 'TFT13_Twitch (2★)', 'TFT13_Vi (2★)', 'TFT13_Mordekaiser (2★)', 'TFT13_Lieutenant (2★)', 'TFT13_Caitlyn (2★)', 'TFT13_Warwick (1★)', 'TFT13_MissMage (1★)']"
NA1_5236732389,2025-02-25 00:13:29.740000+00:00,5,9,1,[],"['TFT13_Ambassador-1', 'TFT13_BloodHunter-1', 'TFT13_Cabal-3', 'TFT13_FormSwapper-1', 'TFT13_Infused-1', 'TFT13_Sorcerer-3', 'TFT13_Warband-1']","['TFT13_Vladimir (2★)', 'tft13_swain (2★)', 'TFT13_Cassiopeia (2★)', 'TFT13_Nami (2★)', 'TFT13_Elise (2★)', 'TFT13_Zoe (2★)', 'TFT13_LeBlanc (1★)', 'TFT13_Mordekaiser (2★)', 'TFT13_Warwick (1★)', 'TFT13_Sion (3★)']"
NA1_5236708566,2025-02-24 23:34:57.795000+00:00,8,8,1,[],"['TFT13_Ambassador-2', 'TFT13_Cabal-1', 'TFT13_FormSwapper-1', 'TFT13_Sorcerer-2', 'TFT13_Warband-1', 'TFT13_Watcher-1']","['TFT13_Vladimir (2★)', 'TFT13_Tristana (1★)', 'tft13_swain (2★)', 'TFT13_Nami (2★)', 'TFT13_Elise (1★)', 'TFT13_Ambessa (2★)', 'TFT13_Garen (2★)', 'TFT13_LeBlanc (1★)', 'TFT13_Sion (1★)']"
NA1_5236692855,2025-02-24 22:58:06.396000+00:00,1,10,9,[],"['TFT13_Ambassador-2', 'TFT13_BloodHunter-1', 'TFT13_Challenger-1', 'TFT13_FormSwapper-2', 'TFT13_Pugilist-1', 'TFT13_Sorcerer-1', 'TFT13_Warband-1']","['TFT13_Tristana (2★)', 'tft13_swain (1★)', 'TFT13_Nami (2★)', 'TFT13_Gangplank (2★)', 'TFT13_Elise (2★)', 'TFT13_Ambessa (2★)', 'TFT13_Garen (2★)', 'TFT13_Vi (2★)', 'TFT13_Jayce (2★)', 'TFT13_Warwick (1★)', 'TFT13_JayceSummon (2★)']"
NA1_5236676866,2025-02-24 22:22:31.630000+00:00,2,9,37,[],"['TFT13_Ambassador-2', 'TFT13_Challenger-1', 'TFT13_JunkerKing-1', 'TFT13_MachineHerald-1', 'TFT13_Martialist-1', 'TFT13_Scrap-1', 'TFT13_Sorcerer-1', 'TFT13_Titan-1', 'TFT13_Warband-1', 'TFT13_Watcher-1']","['TFT13_Vladimir (2★)', 'TFT13_Rell (2★)', 'TFT13_Tristana (2★)', 'TFT13_Nami (2★)', 'TFT13_Ambessa (2★)', 'TFT13_Garen (2★)', 'TFT13_Corki (2★)', 'TFT13_Rumble (2★)', 'TFT13_Viktor (1★)']"
NA1_5234185424,2025-02-21 03:38:15.169000+00:00,1,8,2,[],"['TFT13_Ambassador-1', 'TFT13_Challenger-3', 'TFT13_Rebel-1', 'TFT13_Squad-1', 'TFT13_Titan-2', 'TFT13_Warband-1']","['TFT13_Irelia (2★)', 'TFT13_Nocturne (2★)', 'TFT13_Rell (2★)', 'TFT13_Akali (3★)', 'TFT13_Beardy (2★)', 'TFT13_TwistedFate (3★)', 'TFT13_Ambessa (1★)', 'TFT13_Illaoi (2★)']"
