match_id,game_time,placement,level,gold_left,augments,traits,units
NA1_5278845802,2025-05-02 08:53:29.869000+00:00,1,8,53,[],"['TFT14_AnimaSquad-1', 'TFT14_Divinicorp-1', 'TFT14_Immortal-1', 'TFT14_Marksman-2', 'TFT14_Vanguard-2']","['TFT14_Kindred (2★)', 'TFT14_Sylas (2★)', 'TFT14_Jhin (2★)', 'TFT14_Rhaast (2★)', 'TFT14_Jarvan (2★)', 'TFT14_Xayah (2★)', 'TFT14_Leona (2★)', 'TFT14_Aphelios (2★)']"
NA1_5278833693,2025-05-02 08:22:39.250000+00:00,3,8,12,[],"['TFT14_BallisTek-2', 'TFT14_Bruiser-2', 'TFT14_Cutter-1', 'TFT14_Divinicorp-3', 'TFT14_Techie-1']","['TFT14_Morgana (2★)', 'TFT14_Mordekaiser (2★)', 'TFT14_Fiddlesticks (2★)', 'TFT14_Gragas (2★)', 'TFT14_Vex (1★)', 'TFT14_Chogath (2★)', 'TFT14_Urgot (1★)', 'TFT14_Kobuko (1★)', 'TFT14_Kobuko (1★)']"
NA1_5278817552,2025-05-02 07:37:49.836000+00:00,1,9,2,[],"['TFT14_BallisTek-1', 'TFT14_Bruiser-2', 'TFT14_Cutter-1', 'TFT14_Divinicorp-3', 'TFT14_Netgod-1', 'TFT14_Overlord-1', 'TFT14_Techie-1', 'TFT14_ViegoUniqueTrait-1']","['TFT14_Mordekaiser (2★)', 'TFT14_Gragas (2★)', 'TFT14_Vex (2★)', 'TFT14_Chogath (2★)', 'TFT14_Renekton (1★)', 'TFT14_Garen (2★)', 'TFT14_Urgot (1★)', 'TFT14_Kobuko (1★)', 'TFT14_Viego (1★)']"
NA1_5278701145,2025-05-02 04:27:51.385000+00:00,3,9,2,[],"['TFT14_AnimaSquad-3', 'TFT14_Armorclad-1', 'TFT14_Divinicorp-1', 'TFT14_Marksman-1', 'TFT14_Overlord-1', 'TFT14_Thirsty-1', 'TFT14_Vanguard-1']","['TFT14_Sylas (2★)', 'TFT14_Jhin (2★)', 'TFT14_Vayne (2★)', 'TFT14_Illaoi (2★)', 'TFT14_Yuumi (2★)', 'TFT14_Xayah (2★)', 'TFT14_Leona (2★)', 'TFT14_Renekton (1★)', 'TFT14_Aurora (2★)']"
NA1_5278672370,2025-05-02 03:49:22.361000+00:00,1,9,7,[],"['TFT14_BallisTek-2', 'TFT14_Bruiser-3', 'TFT14_Divinicorp-1', 'TFT14_Techie-1']","['TFT14_DrMundo (2★)', 'TFT14_Skarner (1★)', 'TFT14_Mordekaiser (3★)', 'TFT14_Fiddlesticks (3★)', 'TFT14_Gragas (3★)', 'TFT14_Chogath (2★)', 'TFT14_Chogath (2★)', 'TFT14_Urgot (2★)', 'TFT14_Kobuko (1★)']"
NA1_5278640350,2025-05-02 03:12:44.738000+00:00,5,7,15,[],"['TFT14_Divinicorp-1', 'TFT14_Mob-2', 'TFT14_Swift-1', 'TFT14_Vanguard-1']","['TFT14_Shaco (2★)', 'TFT14_TwistedFate (3★)', 'TFT14_Darius (2★)', 'TFT14_Rhaast (2★)', 'TFT14_Braum (3★)', 'TFT14_Draven (3★)', 'TFT14_MissFortune (1★)']"
NA1_5278612137,2025-05-02 02:35:32.601000+00:00,8,7,0,[],"['TFT14_Armorclad-1', 'TFT14_EdgeRunner-1', 'TFT14_HotRod-2', 'TFT14_Marksman-1', 'TFT14_Supercharge-1', 'TFT14_Thirsty-1']","['TFT14_NidaleeCougar (2★)', 'TFT14_Kindred (2★)', 'TFT14_Jax (2★)', 'TFT14_Shyvana (3★)', 'TFT14_Jhin (3★)', 'TFT14_Naafiri (2★)', 'TFT14_Elise (2★)', 'TFT14_SummonLevel2 (3★)']"
NA1_5278553249,2025-05-02 01:21:01.048000+00:00,1,10,5,[],"['TFT14_Armorclad-1', 'TFT14_BallisTek-1', 'TFT14_Bruiser-1', 'TFT14_Cutter-1', 'TFT14_Divinicorp-7', 'TFT14_Overlord-1']","['TFT14_Morgana (2★)', 'TFT14_Rhaast (2★)', 'TFT14_Senna (2★)', 'TFT14_Gragas (2★)', 'TFT14_Vex (2★)', 'TFT14_Sejuani (2★)', 'TFT14_Chogath (2★)', 'TFT14_Renekton (2★)', 'TFT14_Urgot (2★)']"
NA1_5278459516,2025-05-01 22:54:51.090000+00:00,3,9,1,[],"['TFT14_Bruiser-1', 'TFT14_Controller-2', 'TFT14_Cyberboss-1', 'TFT14_StreetDemon-3', 'TFT14_Techie-1']","['TFT14_Zyra (2★)', 'TFT14_DrMundo (2★)', 'TFT14_Ekko (2★)', 'TFT14_Jinx (2★)', 'TFT14_Neeko (2★)', 'TFT14_Brand (2★)', 'TFT14_Ziggs (2★)', 'TFT14_Samira (1★)', 'TFT14_Kobuko (2★)']"
NA1_5278442856,2025-05-01 22:18:40.118000+00:00,6,8,13,[],"['TFT14_AnimaSquad-1', 'TFT14_Divinicorp-3', 'TFT14_Strong-2', 'TFT14_Vanguard-2']","['TFT14_Sylas (2★)', 'TFT14_Vayne (2★)', 'TFT14_Rhaast (2★)', 'TFT14_Senna (3★)', 'TFT14_Jarvan (3★)', 'TFT14_Vex (1★)', 'TFT14_Zed (2★)', 'TFT14_Leona (2★)']"
NA1_5278421170,2025-05-01 21:39:52.882000+00:00,5,9,7,[],"['TFT14_Armorclad-1', 'TFT14_Bruiser-3', 'TFT14_Divinicorp-1', 'TFT14_EdgeRunner-1', 'TFT14_Strong-1', 'TFT14_Suits-1', 'TFT14_Swift-1']","['TFT14_DrMundo (2★)', 'TFT14_Darius (2★)', 'TFT14_Draven (2★)', 'TFT14_Mordekaiser (2★)', 'TFT14_Galio (2★)', 'TFT14_Gragas (2★)', 'TFT14_Zed (2★)', 'TFT14_Sejuani (1★)', 'TFT14_Zeri (2★)', 'TFT14_Chogath (2★)']"
NA1_5278403884,2025-05-01 21:00:36.836000+00:00,1,9,1,[],"['TFT14_Bruiser-1', 'TFT14_Controller-2', 'TFT14_Cyberboss-1', 'TFT14_StreetDemon-3', 'TFT14_Techie-1']","['TFT14_Zyra (2★)', 'TFT14_DrMundo (2★)', 'TFT14_Ekko (2★)', 'TFT14_Jinx (3★)', 'TFT14_Rengar (2★)', 'TFT14_Neeko (2★)', 'TFT14_Brand (2★)', 'TFT14_Ziggs (1★)', 'TFT14_Kobuko (2★)']"
NA1_5278399583,2025-05-01 20:22:51.154000+00:00,3,1,0,[],['TFT14_Strong-1'],['TFT14_DrMundo (1★)']
NA1_5278386170,2025-05-01 20:19:58.989000+00:00,3,8,9,[],"['TFT14_Bruiser-1', 'TFT14_Divinicorp-2', 'TFT14_Mob-2', 'TFT14_Swift-1', 'TFT14_Vanguard-1']","['TFT14_Shaco (2★)', 'TFT14_TwistedFate (3★)', 'TFT14_Darius (3★)', 'TFT14_Rhaast (2★)', 'TFT14_Braum (2★)', 'TFT14_Draven (3★)', 'TFT14_Gragas (2★)', 'TFT14_MissFortune (2★)']"
NA1_5278192278,2025-05-01 07:51:45.245000+00:00,1,10,1,[],"['TFT14_Bruiser-1', 'TFT14_Controller-3', 'TFT14_Cyberboss-1', 'TFT14_StreetDemon-3', 'TFT14_Supercharge-1', 'TFT14_Techie-1']","['TFT14_Zyra (2★)', 'TFT14_DrMundo (2★)', 'TFT14_Ekko (2★)', 'TFT14_Jinx (3★)', 'TFT14_Yuumi (1★)', 'TFT14_Neeko (2★)', 'TFT14_Brand (2★)', 'TFT14_Ziggs (1★)', 'TFT14_Samira (2★)', 'TFT14_Kobuko (2★)']"
NA1_5278176974,2025-05-01 07:12:12.249000+00:00,6,7,1,[],"['TFT14_Bruiser-1', 'TFT14_Divinicorp-2', 'TFT14_Mob-2', 'TFT14_Swift-1', 'TFT14_Vanguard-1']","['TFT14_TwistedFate (3★)', 'TFT14_Darius (3★)', 'TFT14_Rhaast (2★)', 'TFT14_Braum (2★)', 'TFT14_Draven (3★)', 'TFT14_Gragas (1★)', 'TFT14_MissFortune (1★)']"
NA1_5278143124,2025-05-01 06:10:43.265000+00:00,2,9,0,[],"['TFT14_AnimaSquad-1', 'TFT14_Divinicorp-2', 'TFT14_Mob-1', 'TFT14_Thirsty-3', 'TFT14_Vanguard-2']","['TFT14_Shaco (1★)', 'TFT14_Morgana (3★)', 'TFT14_Sylas (2★)', 'TFT14_Rhaast (2★)', 'TFT14_Braum (2★)', 'TFT14_Elise (2★)', 'TFT14_MissFortune (2★)', 'TFT14_Leona (2★)', 'TFT14_Aurora (2★)']"
