match_id,game_time,placement,level,gold_left,augments,traits,units
NA1_5279084455,2025-05-02 22:12:53.840000+00:00,4,9,5,[],"['TFT14_Bruiser-1', 'TFT14_Controller-2', 'TFT14_Cyberboss-1', 'TFT14_StreetDemon-3', 'TFT14_Techie-1', 'TFT14_Virus-1']","['TFT14_Zyra (2★)', 'TFT14_DrMundo (2★)', 'TFT14_Ekko (1★)', 'TFT14_Rengar (1★)', 'TFT14_Neeko (2★)', 'TFT14_Brand (2★)', 'TFT14_Ziggs (2★)', 'TFT14_Samira (1★)', 'TFT14_Zac (2★)', 'TFT14_Kobuko (1★)']"
NA1_5279068412,2025-05-02 21:40:15.563000+00:00,5,8,14,[],"['TFT14_Controller-2', 'TFT14_StreetDemon-3', 'TFT14_Techie-1']","['TFT14_Zyra (1★)', 'TFT14_DrMundo (2★)', 'TFT14_Ekko (2★)', 'TFT14_Rengar (2★)', 'TFT14_Neeko (2★)', 'TFT14_Brand (2★)', 'TFT14_Ziggs (2★)', 'TFT14_Samira (1★)']"
NA1_5279052808,2025-05-02 21:06:46.970000+00:00,3,9,32,[],"['TFT14_AnimaSquad-1', 'TFT14_Divinicorp-1', 'TFT14_Immortal-1', 'TFT14_Marksman-2', 'TFT14_Vanguard-2', 'TFT14_Virus-1']","['TFT14_Sylas (2★)', 'TFT14_Jhin (2★)', 'TFT14_Rhaast (2★)', 'TFT14_Jinx (2★)', 'TFT14_Jarvan (2★)', 'TFT14_Xayah (2★)', 'TFT14_Leona (2★)', 'TFT14_Aphelios (2★)', 'TFT14_Zac (1★)']"
NA1_5278862557,2025-05-02 10:28:30.352000+00:00,6,9,0,[],"['TFT14_Armorclad-1', 'TFT14_Bruiser-1', 'TFT14_EdgeRunner-3', 'TFT14_Marksman-1', 'TFT14_Swift-1', 'TFT14_Techie-1', 'TFT14_ViegoUniqueTrait-1']","['TFT14_Kindred (2★)', 'TFT14_Jax (2★)', 'TFT14_Jhin (2★)', 'TFT14_Naafiri (2★)', 'TFT14_Mordekaiser (2★)', 'TFT14_Sejuani (2★)', 'TFT14_Zeri (2★)', 'TFT14_Kobuko (1★)', 'TFT14_Viego (1★)', 'TFT14_Braum (2★)']"
NA1_5278852567,2025-05-02 09:46:09.651000+00:00,2,9,13,[],"['TFT14_AnimaSquad-1', 'TFT14_Divinicorp-1', 'TFT14_Immortal-1', 'TFT14_Marksman-2', 'TFT14_Thirsty-1', 'TFT14_Vanguard-2']","['TFT14_Kindred (2★)', 'TFT14_Sylas (2★)', 'TFT14_Jhin (2★)', 'TFT14_Rhaast (2★)', 'TFT14_Jarvan (2★)', 'TFT14_Xayah (2★)', 'TFT14_Leona (2★)', 'TFT14_Aphelios (2★)', 'TFT14_Aurora (1★)']"
NA1_5278844762,2025-05-02 09:03:25.938000+00:00,2,9,1,[],"['TFT14_Armorclad-1', 'TFT14_Bruiser-1', 'TFT14_Cutter-1', 'TFT14_Divinicorp-4', 'TFT14_EdgeRunner-1', 'TFT14_Overlord-1', 'TFT14_Thirsty-1', 'TFT14_Virus-1']","['TFT14_Morgana (2★)', 'TFT14_Varus (2★)', 'TFT14_Mordekaiser (2★)', 'TFT14_Gragas (2★)', 'TFT14_Vex (2★)', 'TFT14_Sejuani (2★)', 'TFT14_Zac (2★)', 'TFT14_Renekton (2★)', 'TFT14_Aurora (2★)']"
NA1_5278831172,2025-05-02 08:13:58.373000+00:00,3,9,1,[],"['TFT14_Armorclad-1', 'TFT14_Bruiser-1', 'TFT14_Divinicorp-1', 'TFT14_EdgeRunner-1', 'TFT14_Mob-1', 'TFT14_Overlord-1', 'TFT14_Swift-1', 'TFT14_Techie-1', 'TFT14_Thirsty-1', 'TFT14_ViegoUniqueTrait-1']","['TFT14_Jax (2★)', 'TFT14_TwistedFate (2★)', 'TFT14_Darius (2★)', 'TFT14_Jhin (2★)', 'TFT14_Mordekaiser (2★)', 'TFT14_MissFortune (2★)', 'TFT14_Sejuani (2★)', 'TFT14_Zeri (2★)', 'TFT14_Aurora (2★)']"
NA1_5278818200,2025-05-02 07:41:46.338000+00:00,4,9,0,[],"['TFT14_Bruiser-1', 'TFT14_Controller-2', 'TFT14_Cyberboss-1', 'TFT14_StreetDemon-3', 'TFT14_Techie-1', 'TFT14_Virus-1']","['TFT14_Zyra (2★)', 'TFT14_DrMundo (2★)', 'TFT14_Ekko (2★)', 'TFT14_Neeko (2★)', 'TFT14_Brand (2★)', 'TFT14_Ziggs (2★)', 'TFT14_Samira (1★)', 'TFT14_Zac (2★)', 'TFT14_Kobuko (1★)']"
NA1_5278800230,2025-05-02 06:59:30.931000+00:00,5,8,48,[],"['TFT14_Armorclad-1', 'TFT14_Cutter-3', 'TFT14_Divinicorp-2', 'TFT14_EdgeRunner-2', 'TFT14_Swift-1']","['TFT14_Morgana (2★)', 'TFT14_Jax (2★)', 'TFT14_Varus (2★)', 'TFT14_Mordekaiser (2★)', 'TFT14_Vex (2★)', 'TFT14_Sejuani (2★)', 'TFT14_Zeri (2★)', 'TFT14_Urgot (1★)']"
NA1_5278776327,2025-05-02 06:22:14.302000+00:00,1,9,6,[],"['TFT14_Bruiser-1', 'TFT14_Divinicorp-1', 'TFT14_Mob-2', 'TFT14_Swift-1', 'TFT14_Thirsty-1', 'TFT14_Vanguard-1', 'TFT14_ViegoUniqueTrait-1']","['TFT14_Shaco (2★)', 'TFT14_TwistedFate (3★)', 'TFT14_Darius (2★)', 'TFT14_Rhaast (2★)', 'TFT14_Braum (3★)', 'TFT14_Draven (2★)', 'TFT14_MissFortune (2★)', 'TFT14_Kobuko (1★)', 'TFT14_Aurora (1★)', 'TFT14_Viego (1★)']"
