match_id,game_time,placement,level,gold_left,augments,traits,units
NA1_5278719225,2025-05-02 04:48:50.770000+00:00,8,8,2,[],"['TFT14_AnimaSquad-1', 'TFT14_Armorclad-1', 'TFT14_Controller-4', 'TFT14_Suits-1', 'TFT14_Vanguard-1']","['TFT14_Vi (2★)', 'TFT14_Ekko (2★)', 'TFT14_LeBlanc (3★)', 'TFT14_Illaoi (3★)', 'TFT14_Galio (2★)', 'TFT14_Yuumi (2★)', 'TFT14_Neeko (2★)', 'TFT14_Leona (1★)']"
NA1_5278691041,2025-05-02 04:16:57.970000+00:00,5,8,0,[],"['TFT14_BallisTek-1', 'TFT14_Bruiser-3', 'TFT14_Divinicorp-1', 'TFT14_Techie-1']","['TFT14_DrMundo (2★)', 'TFT14_Darius (2★)', 'TFT14_Mordekaiser (3★)', 'TFT14_Fiddlesticks (3★)', 'TFT14_Gragas (3★)', 'TFT14_Chogath (2★)', 'TFT14_Urgot (2★)', 'TFT14_Kobuko (1★)']"
NA1_5278661987,2025-05-02 03:37:53.836000+00:00,5,8,2,[],"['TFT14_Bruiser-3', 'TFT14_Divinicorp-3', 'TFT14_Overlord-1', 'TFT14_Strong-1']","['TFT14_DrMundo (2★)', 'TFT14_Darius (2★)', 'TFT14_Senna (2★)', 'TFT14_Mordekaiser (2★)', 'TFT14_Gragas (3★)', 'TFT14_Chogath (2★)', 'TFT14_Renekton (2★)', 'TFT14_Kobuko (1★)']"
NA1_5278637059,2025-05-02 03:07:46.134000+00:00,7,8,0,[],"['TFT14_AnimaSquad-3', 'TFT14_Armorclad-1', 'TFT14_Vanguard-1']","['TFT14_Sylas (2★)', 'TFT14_Vayne (2★)', 'TFT14_Illaoi (2★)', 'TFT14_Yuumi (2★)', 'TFT14_Xayah (2★)', 'TFT14_Sejuani (2★)', 'TFT14_Leona (1★)', 'TFT14_Aurora (1★)']"
NA1_5278606832,2025-05-02 02:33:30.496000+00:00,4,8,0,[],"['TFT14_Bruiser-1', 'TFT14_Divinicorp-1', 'TFT14_Mob-1', 'TFT14_Strong-3', 'TFT14_Vanguard-1']","['TFT14_DrMundo (2★)', 'TFT14_Shaco (3★)', 'TFT14_Darius (2★)', 'TFT14_Vayne (2★)', 'TFT14_Braum (2★)', 'TFT14_Senna (2★)', 'TFT14_Jarvan (2★)', 'TFT14_Zed (2★)']"
NA1_5278526592,2025-05-02 00:50:11.052000+00:00,1,8,7,[],"['TFT14_Bruiser-1', 'TFT14_Divinicorp-3', 'TFT14_Strong-3', 'TFT14_Vanguard-1', 'TFT14_Virus-1']","['TFT14_DrMundo (2★)', 'TFT14_Vayne (3★)', 'TFT14_Rhaast (2★)', 'TFT14_Senna (3★)', 'TFT14_Jarvan (3★)', 'TFT14_Gragas (2★)', 'TFT14_Zed (2★)', 'TFT14_Zac (2★)']"
NA1_5278138891,2025-05-01 05:57:58.872000+00:00,4,8,0,[],"['TFT14_Armorclad-1', 'TFT14_Controller-1', 'TFT14_Divinicorp-1', 'TFT14_Strong-1', 'TFT14_Suits-3', 'TFT14_Swift-1']","['TFT14_Vi (2★)', 'TFT14_KogMaw (1★)', 'TFT14_LeBlanc (2★)', 'TFT14_Draven (3★)', 'TFT14_Senna (2★)', 'TFT14_Galio (2★)', 'TFT14_Zed (2★)', 'TFT14_Sejuani (2★)']"
NA1_5278119807,2025-05-01 05:31:27.754000+00:00,7,8,4,[],"['TFT14_AnimaSquad-3', 'TFT14_Armorclad-1', 'TFT14_Vanguard-1']","['TFT14_Sylas (3★)', 'TFT14_Seraphine (3★)', 'TFT14_Illaoi (2★)', 'TFT14_Yuumi (3★)', 'TFT14_Xayah (2★)', 'TFT14_Sejuani (1★)', 'TFT14_Leona (2★)', 'TFT14_Aurora (1★)']"
NA1_5278091712,2025-05-01 04:52:33.345000+00:00,3,9,1,[],"['TFT14_Armorclad-2', 'TFT14_Divinicorp-2', 'TFT14_EdgeRunner-1', 'TFT14_Overlord-1', 'TFT14_Strong-1', 'TFT14_Suits-3', 'TFT14_Swift-1']","['TFT14_Jax (2★)', 'TFT14_Vi (2★)', 'TFT14_LeBlanc (2★)', 'TFT14_Draven (3★)', 'TFT14_Senna (1★)', 'TFT14_Galio (3★)', 'TFT14_Zed (2★)', 'TFT14_Sejuani (1★)', 'TFT14_Zeri (2★)', 'TFT14_Renekton (1★)']"
NA1_5277999770,2025-05-01 02:57:55.655000+00:00,4,9,2,[],"['TFT14_BallisTek-3', 'TFT14_Bruiser-2', 'TFT14_Divinicorp-1', 'TFT14_Swift-1']","['TFT14_KogMaw (2★)', 'TFT14_TwistedFate (3★)', 'TFT14_Darius (2★)', 'TFT14_Skarner (1★)', 'TFT14_Fiddlesticks (1★)', 'TFT14_Gragas (2★)', 'TFT14_Chogath (2★)', 'TFT14_Urgot (2★)', 'TFT14_Kobuko (2★)']"
NA1_5277971559,2025-05-01 02:22:35.275000+00:00,7,8,1,[],"['TFT14_Controller-1', 'TFT14_Marksman-1', 'TFT14_StreetDemon-3', 'TFT14_Techie-1']","['TFT14_Zyra (2★)', 'TFT14_DrMundo (2★)', 'TFT14_Ekko (2★)', 'TFT14_Jhin (2★)', 'TFT14_Jinx (2★)', 'TFT14_Rengar (1★)', 'TFT14_Neeko (2★)', 'TFT14_Brand (2★)']"
