match_id,game_time,placement,level,gold_left,augments,traits,units
NA1_5277883760,2025-05-01 00:02:25.248000+00:00,3,10,3,[],"['TFT14_AnimaSquad-1', 'TFT14_Divinicorp-5', 'TFT14_Netgod-1', 'TFT14_Overlord-1', 'TFT14_Strong-2', 'TFT14_Vanguard-2']","['TFT14_Sylas (2★)', 'TFT14_Vayne (3★)', 'TFT14_Rhaast (3★)', 'TFT14_Senna (2★)', 'TFT14_Jarvan (2★)', 'TFT14_Vex (1★)', 'TFT14_Zed (2★)', 'TFT14_Leona (1★)', 'TFT14_Renekton (2★)', 'TFT14_Garen (2★)']"
NA1_5277870487,2025-04-30 23:48:03.578000+00:00,7,7,3,[],"['TFT14_Divinicorp-1', 'TFT14_Netgod-1', 'TFT14_Strong-1', 'TFT14_Suits-2', 'TFT14_Vanguard-1']","['TFT14_Vi (2★)', 'TFT14_LeBlanc (2★)', 'TFT14_Draven (3★)', 'TFT14_Senna (2★)', 'TFT14_Jarvan (2★)', 'TFT14_Galio (2★)', 'TFT14_Garen (1★)']"
NA1_5277861210,2025-04-30 23:32:08.195000+00:00,8,7,1,[],"['TFT14_Armorclad-1', 'TFT14_Cyberboss-2', 'TFT14_HotRod-1', 'TFT14_Techie-1', 'TFT14_Thirsty-1']","['TFT14_Kindred (3★)', 'TFT14_Poppy (2★)', 'TFT14_Veigar (2★)', 'TFT14_Shyvana (2★)', 'TFT14_Elise (1★)', 'TFT14_Ziggs (1★)', 'TFT14_Aurora (1★)', 'TFT14_SummonLevel2 (2★)']"
NA1_5277848249,2025-04-30 23:05:06.903000+00:00,3,9,5,[],"['TFT14_Armorclad-1', 'TFT14_Controller-1', 'TFT14_Cyberboss-2', 'TFT14_StreetDemon-1', 'TFT14_Techie-3', 'TFT14_ViegoUniqueTrait-1']","['TFT14_Zyra (2★)', 'TFT14_Poppy (3★)', 'TFT14_Veigar (3★)', 'TFT14_Shyvana (2★)', 'TFT14_Mordekaiser (2★)', 'TFT14_Neeko (2★)', 'TFT14_Brand (2★)', 'TFT14_Ziggs (1★)', 'TFT14_Viego (2★)', 'TFT14_Gragas (2★)']"
NA1_5277593815,2025-04-30 08:17:44.160000+00:00,2,10,0,[],"['TFT14_Bruiser-1', 'TFT14_Controller-2', 'TFT14_Cutter-1', 'TFT14_Cyberboss-1', 'TFT14_Divinicorp-1', 'TFT14_StreetDemon-3', 'TFT14_Techie-1']","['TFT14_Zyra (2★)', 'TFT14_DrMundo (3★)', 'TFT14_Ekko (2★)', 'TFT14_Jinx (2★)', 'TFT14_Rengar (2★)', 'TFT14_Neeko (2★)', 'TFT14_Brand (2★)', 'TFT14_Vex (2★)', 'TFT14_Ziggs (2★)', 'TFT14_Kobuko (2★)']"
NA1_5277584594,2025-04-30 07:58:39.272000+00:00,5,9,2,[],"['TFT14_Armorclad-1', 'TFT14_Bruiser-1', 'TFT14_EdgeRunner-3', 'TFT14_Techie-1', 'TFT14_ViegoUniqueTrait-1']","['TFT14_Jax (2★)', 'TFT14_Jhin (2★)', 'TFT14_Naafiri (2★)', 'TFT14_Varus (2★)', 'TFT14_Mordekaiser (2★)', 'TFT14_Sejuani (2★)', 'TFT14_Zeri (2★)', 'TFT14_Kobuko (2★)', 'TFT14_Viego (1★)']"
NA1_5277578290,2025-04-30 07:35:19+00:00,4,9,2,[],"['TFT14_Bruiser-1', 'TFT14_Controller-1', 'TFT14_Cutter-1', 'TFT14_Divinicorp-1', 'TFT14_Netgod-1', 'TFT14_Overlord-1', 'TFT14_StreetDemon-3', 'TFT14_Techie-1']","['TFT14_Zyra (2★)', 'TFT14_DrMundo (2★)', 'TFT14_Ekko (2★)', 'TFT14_Jinx (3★)', 'TFT14_Rengar (2★)', 'TFT14_Mordekaiser (2★)', 'TFT14_Neeko (1★)', 'TFT14_Renekton (2★)', 'TFT14_Garen (1★)']"
NA1_5277569431,2025-04-30 07:09:51.825000+00:00,1,10,0,[],"['TFT14_Armorclad-1', 'TFT14_EdgeRunner-3', 'TFT14_Marksman-1', 'TFT14_Swift-1', 'TFT14_Techie-1', 'TFT14_Thirsty-1', 'TFT14_ViegoUniqueTrait-1']","['TFT14_Kindred (2★)', 'TFT14_Jax (2★)', 'TFT14_Jhin (2★)', 'TFT14_Naafiri (2★)', 'TFT14_Varus (2★)', 'TFT14_Mordekaiser (2★)', 'TFT14_Sejuani (2★)', 'TFT14_Zeri (2★)', 'TFT14_Aurora (2★)', 'TFT14_Viego (2★)', 'TFT14_Viego (1★)']"
NA1_5277214635,2025-04-29 22:34:46.863000+00:00,8,8,1,[],"['TFT14_Armorclad-1', 'TFT14_Bruiser-1', 'TFT14_Cutter-1', 'TFT14_Divinicorp-4', 'TFT14_EdgeRunner-2', 'TFT14_Thirsty-1']","['TFT14_Morgana (2★)', 'TFT14_Jax (2★)', 'TFT14_Jhin (1★)', 'TFT14_Varus (2★)', 'TFT14_Mordekaiser (2★)', 'TFT14_Gragas (2★)', 'TFT14_Vex (2★)', 'TFT14_Sejuani (2★)']"
NA1_5276936238,2025-04-29 06:27:52.956000+00:00,1,10,2,[],"['TFT14_Armorclad-1', 'TFT14_Bruiser-1', 'TFT14_EdgeRunner-2', 'TFT14_Mob-1', 'TFT14_Swift-1', 'TFT14_Techie-1', 'TFT14_Thirsty-3', 'TFT14_ViegoUniqueTrait-1']","['TFT14_Jax (2★)', 'TFT14_TwistedFate (1★)', 'TFT14_Darius (2★)', 'TFT14_Jhin (2★)', 'TFT14_Mordekaiser (2★)', 'TFT14_MissFortune (2★)', 'TFT14_Sejuani (2★)', 'TFT14_Zeri (2★)', 'TFT14_Aurora (2★)', 'TFT14_Viego (2★)', 'TFT14_Aurora (1★)']"
NA1_5276923318,2025-04-29 06:08:40.865000+00:00,5,9,3,[],"['TFT14_Armorclad-1', 'TFT14_EdgeRunner-3', 'TFT14_Marksman-1', 'TFT14_Swift-1', 'TFT14_Techie-1', 'TFT14_ViegoUniqueTrait-1']","['TFT14_Kindred (2★)', 'TFT14_Jax (2★)', 'TFT14_Jhin (2★)', 'TFT14_Naafiri (2★)', 'TFT14_Varus (2★)', 'TFT14_Mordekaiser (2★)', 'TFT14_Sejuani (1★)', 'TFT14_Zeri (2★)', 'TFT14_Viego (1★)']"
NA1_5276909719,2025-04-29 05:45:09.928000+00:00,1,10,2,[],"['TFT14_Bruiser-1', 'TFT14_Controller-1', 'TFT14_Cyberboss-2', 'TFT14_StreetDemon-1', 'TFT14_Techie-4', 'TFT14_ViegoUniqueTrait-1']","['TFT14_Zyra (2★)', 'TFT14_Veigar (2★)', 'TFT14_Shyvana (2★)', 'TFT14_Mordekaiser (2★)', 'TFT14_Fiddlesticks (2★)', 'TFT14_Neeko (2★)', 'TFT14_Brand (2★)', 'TFT14_Ziggs (2★)', 'TFT14_Kobuko (2★)', 'TFT14_Viego (2★)', 'TFT14_Urgot (2★)']"
